summary,projectName,description,acceptanceCriteria,storyId,parentSummary,statusCategory,priority,risk,createdDate,lastModifiedDate
Consultant Dashboard My Inpatients,Health Care,"As a user, I want to consultant dashboard my inpatients so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-257,Emergency Management,To Do,P1,Critical,06-01-2022,29-12-2023
Wards Dashboard Nurse Activities,Health Care,"As a user, I want to wards dashboard nurse activities so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-207,Digital OP Management,To Do,P1,Critical,01-01-2022,31-12-2023
Daycare Nurse Activities Raise,Health Care,"As a user, I want to daycare nurse activities raise so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-84,Dynamic Forms Management,In Progress,P1,Critical,07-01-2022,29-12-2023
Reports View Reports Others,Health Care,"As a user, I want to reports view reports others so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-201,OP Billing Management,In Progress,P1,Critical,02-01-2022,31-12-2023
Billing Execution Deposit Refund,Health Care,"As a user, I want to billing execution deposit refund so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-154,Ward - Nursing,In Progress,P1,Critical,09-01-2022,31-12-2023
Nurse Activities Raise Request,Health Care,"As a user, I want to nurse activities raise request so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-123,Blood Bank Management,Done,P1,Critical,04-01-2022,30-12-2023
Doctor Activities Raise Request,Health Care,"As a user, I want to doctor activities raise request so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-229,OP-Wards,Done,P1,Critical,01-01-2022,29-12-2023
Radiology Transactions Technicians Worklist,Health Care,"As a user, I want to radiology transactions technicians worklist so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-150,Registration Management,To Do,P1,Critical,08-01-2022,31-12-2023
Radiology Transactions Front Office,Health Care,"As a user, I want to radiology transactions front office so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-192,Registration Management,Done,P1,Critical,11-01-2022,30-12-2023
Consultant Dashboard View Request,Health Care,"As a user, I want to consultant dashboard view request so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-276,Laboratory Management,In Progress,P1,Critical,06-01-2022,31-12-2023
Daycare Dashboard View Request,Health Care,"As a user, I want to daycare dashboard view request so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-294,IP Digital,Done,P1,Critical,01-01-2022,31-12-2023
Nurse Dashboard View Request,Health Care,"As a user, I want to nurse dashboard view request so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-189,Emergency Management,In Progress,P1,Critical,01-01-2022,30-12-2023
Wards Dashboard View Request,Health Care,"As a user, I want to wards dashboard view request so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-218,Emergency Management,Done,P1,Critical,01-01-2022,31-12-2023
Doctor Activities Doctor Note,Health Care,"As a user, I want to doctor activities doctor note so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-269,Emergency Management,Done,P1,Critical,15-02-2022,30-12-2023
Reports Bb Report Home,Health Care,"As a user, I want to reports bb report home so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-98,Digital dietician Management,Done,P1,Critical,02-01-2022,31-12-2023
Radiology Transactions Reporting Worklist,Health Care,"As a user, I want to radiology transactions reporting worklist so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-228,Blood Bank Management,To Do,P1,Critical,08-01-2022,31-12-2023
Billing Execution Op Bill,Health Care,"As a user, I want to billing execution op bill so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-133,Laboratory Management,In Progress,P1,Critical,03-01-2022,31-12-2023
Consultant Dashboard My Appointments,Health Care,"As a user, I want to consultant dashboard my appointments so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-137,IP Digital,In Progress,P2,Low,04-12-2022,14-12-2023
Reports Admin Reports Others,Health Care,"As a user, I want to reports admin reports others so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-178,Digital dietician Management,Done,P1,Critical,05-01-2022,30-12-2023
